----------------- UnitConverter information -----------------
-- Parameters:
Resolution:                       N=              20
Lattice velocity:                 latticeU=       0.06
Lattice relaxation frequency:     omega=          1.9305
Lattice relaxation time:          tau=            0.518
Characteristical length(m):       charL=          0.0104
Characteristical speed(m/s):      charU=          1
Phys. kinematic viscosity(m^2/s): charNu=         5.2e-05
Phys. density(kg/m^d):            charRho=        1
Characteristical pressure(N/m^2): charPressure=   0
Mach number:                      machNumber=     0.103923
Reynolds number:                  reynoldsNumber= 200
Knudsen number:                   knudsenNumber=  0.000519615
Characteristical CFL number:      charCFLnumber=  0.06

-- Conversion factors:
Voxel length(m):                  physDeltaX=     0.00052
Time step(s):                     physDeltaT=     3.12e-05
Velocity factor(m/s):             physVelocity=   16.6667
Density factor(kg/m^3):           physDensity=    1
Mass factor(kg):                  physMass=       1.40608e-10
Viscosity factor(m^2/s):          physViscosity=  0.00866667
Force factor(N):                  physForce=      7.51111e-05
Pressure factor(N/m^2):           physPressure=   277.778
-------------------------------------------------------------
